series,episode,baker,signature_bake,show_stopper,baker_age,baker_occupation,hometown,technical,result
2,1,"""Jo""",Chocolate Orange CupcakesOrange and Cardamom Cupcakes,Chocolate and Strawberry Cake,NA,NA,NA,NA,NA
2,2,"""Jo""","Caramelised Onion, Gruyere and Thyme Quiche",Raspberry and Mascarpone Tarts with Lemon and Almond PastryHoney and Almond Tarts with Sweetcrust,NA,NA,NA,NA,NA
2,3,"""Jo""","Stromboli flavored with Mozzarella, Ham, and Picante Pepper",Unknown,NA,NA,NA,NA,NA
2,4,"""Jo""",Lavender Biscuits,Blueberry MacaronsCoconut MacaronsStrawberry Macarons,NA,NA,NA,NA,NA
2,5,"""Jo""",Salmon and Asparagus Pie,Apple and Raspberry Meringue Pie,NA,NA,NA,NA,NA
2,6,"""Jo""",Rum and Raisin Baked Cheesecake,Limoncello and White Chocolate Croquembouche,NA,NA,NA,NA,NA
2,7,"""Jo""",Raspberry & Strawberry Mousse Cake,Pain Aux RaisinChocolate TwistsBanana and Raisin Pastries,NA,NA,NA,NA,NA
2,8,"""Jo""",Raspberry and Blueberry Mille Feuille,"Mini Victoria SandwichesRaspberry, White Chocolate and Pistachio Mini MeringuesMini Banoffee Pie with Banana Mousse",NA,NA,NA,NA,NA
4,1,Ali,Rose and Pistachio Cake,"Chocolate, Raspberry and Passion Fruit Engagement Cake",NA,NA,NA,11,IN
4,2,Ali,Italian Grissini,Sweet and Savoury Yin Yang Bread,NA,NA,NA,9,IN
4,3,Ali,"Coconut, Raspberry and Lemon Meringue Trifle",Vanilla Latte Mini CakesLime & Mint Shortbread Pops,NA,NA,NA,5,IN
4,4,Ali,Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry,"Orange, Cardamom and Date M'Hanncha",NA,NA,NA,8,OUT
6,1,Alvin,Orange Vanilla and Fig Madeira Cake,Black Forest Gâteau,NA,NA,NA,2,IN
6,2,Alvin,"Jackfruit, Pistachio and Macadamia Biscotti",Gingerbread Box filled with Brandy Snaps,NA,NA,NA,6,IN
6,3,Alvin,"Prosciutto, Manchego and Balsamic Onion Soda Breads",Cornucopia,NA,NA,NA,4,IN
6,4,Alvin,Blackberry Crème Brûlées,Tower of Fruits Cheesecakes,NA,NA,NA,9,IN
6,5,Alvin,Pineapple Upside Down Cake,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll",NA,NA,NA,8,IN
6,6,Alvin,Plum Frangipane Tart,Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents,NA,NA,NA,6,OUT
7,1,Andrew,Lemon and Rosemary Drizzle Cake,'Ultimate Indulgence' Mirror Glaze Cake,NA,NA,NA,12,IN
7,2,Andrew,Beehive Biscuits,Punting in Cambridge,NA,NA,NA,4,IN
7,3,Andrew,Chocolate Barmbrack Bread,Braided Harvest Bread Basket,NA,NA,NA,2,IN
7,4,Andrew,Yorkshire 'Tapas' Puddings,Churros Window Box,NA,NA,NA,4,IN
7,5,Andrew,Mum and Dad's Breakfast Pastries,Spicy Chorizo Squash Parcels and Baklava Bites,NA,NA,NA,6,IN
7,6,Andrew,Tangy Lime and Ginger Meringue Pie,Spring Elderflower Trio,NA,NA,NA,6,IN
7,7,Andrew,Tropical Holiday Roulade,Childhood Ice Cream Mousse Cakes,NA,NA,NA,1,STAR BAKER
7,8,Andrew,Da Vinci Inspired Geared Pies,Jousting Knights Marchpane,NA,NA,NA,2,IN
7,9,Andrew,Cheesy Elephant Ears and Herby Treble Clefs,Philharmonic Fondants,NA,NA,NA,2,STAR BAKER
7,10,Andrew,Crunchy Caramel Cassis Crown,Family and Friends' Favourites Picnic,NA,NA,NA,1,Runner-up
1,1,Annetha,Light Jamaican Black Cakewith Strawberries and Cream,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream",NA,NA,NA,2,IN
1,2,Annetha,Rose Petal Shortbread,Pink Swirl Macarons / Eclairs,NA,NA,NA,7,OUT
4,1,Beca,Grapefruit Sandwich Cake,Chocolate Cherry Indulgence,NA,NA,NA,8,IN
4,2,Beca,Fennel and Chilli Breadsticks,Five Strand Christmas Wreath,NA,NA,NA,11,IN
4,3,Beca,Orange and Ginger Trifle,Limoncello and Blueberry BurstsMillionaire Shortbread,NA,NA,NA,10,IN
4,4,Beca,Mamgu's Cherry-Apple Tart,Moroccan Vegetable Filo Feast,NA,NA,NA,2,IN
4,5,Beca,"Chocolate, Cherry and Hazelnut Brownies",Tiered Macaron and Sugar Dough Biscuit Centrepiece,NA,NA,NA,5,IN
4,6,Beca,Bara Brith,Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns,NA,NA,NA,6,IN
4,7,Beca,Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy,Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille,NA,NA,NA,1,IN
4,8,Beca,"Potato, Spelt and Rosemary Focaccia",Spiced Butternut Squash and Pecan 'Cheese' Cake,NA,NA,NA,4,IN
4,9,Beca,Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets,Banoffee Opera Cake,NA,NA,NA,3,OUT
2,1,Ben,Rhubarb and Custard CupcakesAfter Dinner Cupcakes,Vanilla Sponge with White Chocolate and Raspberry Buttercream,NA,NA,NA,2,IN
2,2,Ben,"Chorizo, Pepper and Gruyere Quiche",Lemon Meringue Tarts,NA,NA,NA,1,IN
2,3,Ben,"Walnut, Raisin and Rosemary Loaf",UNKNOWN,NA,NA,NA,3,IN
2,4,Ben,Stem Ginger Nuts,Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons,NA,NA,NA,5,OUT
7,1,Benjamina,"Pistachio, Cardamom and Lemon Drizzle Cake",White Chocolate Mirror Glaze with Salted Praline Buttercream,NA,NA,NA,6,IN
7,2,Benjamina,Bouquet Biscuits,"New York, New York",NA,NA,NA,3,IN
7,3,Benjamina,"Chocolate, Tahini and Almond Babka",Braided Bread Heart,NA,NA,NA,6,IN
7,4,Benjamina,"Red Onion Chutney, Brie and Bacon Yorkshire Puddings",Tropical Churros,NA,NA,NA,1,STAR BAKER
7,5,Benjamina,'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels,Plantain and Spinach Samosas and Chai Pear Cups,NA,NA,NA,5,IN
7,6,Benjamina,Grapefruit and Ginger Meringue Pie,Floral Tea Cake,NA,NA,NA,2,IN
7,7,Benjamina,Piña Colada Roulade,Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake,NA,NA,NA,3,IN
7,8,Benjamina,Mexican Adventure,Tudor Garden,NA,NA,NA,4,OUT
3,1,Brendan,"Plum, Sour Cherry & Walnut",UNKNOWN,NA,NA,NA,10,IN
3,2,Brendan,Middle Eastern Taboon BreadIndian Rotis,"Chocolate and Vanilla Bagels
Cumin and Gruyere Bagels",NA,NA,NA,4,IN
3,3,Brendan,Apple and Ginger Tarte Tatin,"Blackberry, Nectarine and Dragon Fruit Tart",NA,NA,NA,9,IN
3,4,Brendan,Clementine and Chestnut Torte,"Pear, Chocolate and Hazelnut Dacquoise",NA,NA,NA,1,STAR BAKER
3,5,Brendan,Salmon Coulibiac in a Scandinavian Pastry,All American Chiffon Pie,NA,NA,NA,3,IN
3,6,Brendan,"Rhubarb, Strawberry and Ginger Puddings
Sticky Toffee Puddings","Spinach, Cheese and Walnut Strudel",NA,NA,NA,1,STAR BAKER
3,7,Brendan,Chelsea Bunskis,Black Forest Christmas Stollen,NA,NA,NA,4,IN
3,8,Brendan,Multi-Seed Savoury Crackers,Fantasy Gingerbread Bird House,NA,NA,NA,2,IN
3,9,Brendan,Coffee Meringue and Hazelnut CreamsApricot and Pistachio FriandsLime Curd Choux Pastry Cygnets,Gateau St. Honoré,NA,NA,NA,3,IN
3,10,Brendan,Potato and Pepper Pithivier,Family Reunion Chiffon Cake,NA,NA,NA,2,Runner-up
7,1,Candice,Raspberry and Rhubarb Drizzle Custard Bundt Cake,"Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?",NA,NA,NA,5,IN
7,2,Candice,"Salted Caramel, Chocolate Iced Shiny Hearts",Gingerbread Pub with Sticky Ginger Carpet,NA,NA,NA,8,STAR BAKER
7,3,Candice,"Chocolate, Salted Caramel & Pecan Brittle Brioche Loaf",Italian Light and Dark Rye Twist,NA,NA,NA,3,IN
7,4,Candice,Yorkshire Wellingtons,Two-Way Peanut Butter Churros,NA,NA,NA,2,IN
7,5,Candice,"Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish","Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups",NA,NA,NA,2,STAR BAKER
7,6,Candice,"Lime, Coconut and Lemongrass Sugar Meringue Pie",Four Seasons Cake,NA,NA,NA,5,IN
7,7,Candice,Crowd Pleaser Roulade,Blackberry and Raspberry Bubbles and After Dinner Mousse,NA,NA,NA,2,IN
7,8,Candice,Cheesy Cheeky Fish Pies,Peacock,NA,NA,NA,1,STAR BAKER
7,9,Candice,"Red Onion, Cambozola and Walnut Palmiers and Mushroom, Streaky Bacon, and Parmesan Palmiers",Chocolate Praline Fondant Fancies and Cherry Bakewell Fondant Fancies,NA,NA,NA,3,IN
7,10,Candice,Queen Victoria's Mango and Strawberry Crown,Picnic for Pearly Kings and Queens,NA,NA,NA,2,WINNER
3,1,Cathryn,"Apple, Hazelnut and Calvados",Hidden Cupcake Cake,NA,NA,NA,5,IN
3,2,Cathryn,"Spiced Mango NaanLime, Coriander and Chilli Tortillas","Cranberry and Orange Bagels
Chipotle, Chili, and Smoked Cheddar Bagels",NA,NA,NA,8,IN
3,3,Cathryn,"Plum, Cherry and Five Spice Tarte Tatin","Raspberry, Pistachio and Lemon Tart",NA,NA,NA,3,IN
3,4,Cathryn,"White Chocolate, Macadamia and Coffee Torte","Gooseberry, Almond and Honey Meringue",NA,NA,NA,3,IN
3,5,Cathryn,Full English Wellington,Chocolate and Peanut Butter Pumpkin Pie,NA,NA,NA,1,IN
3,6,Cathryn,"Chocolate Walnut Whip Puddings
Elderflower Sponges",Roasted Vegetable Couscous and Sheep Cheese Strudel,NA,NA,NA,3,IN
3,7,Cathryn,Lady Arundel's Manchet Buns,Bonfire Night Tear 'n' Share Brioche,NA,NA,NA,5,IN
3,8,Cathryn,Cheese and Pickle Crackers,Gingerbread Buckingham Palace,NA,NA,NA,5,OUT
5,1,Chetna,"Cardamom, Pistachio and Coffee Swiss Roll",Tiered Victoria Sponges with Lemon Curd and Raspberry Cream,NA,NA,NA,3,IN
5,2,Chetna,Fenugreek and Carom Crackers,Day On The Beach,NA,NA,NA,8,IN
5,3,Chetna,Onion and Pine Nut Rolls,Rolled and Filled Twin Loaf,NA,NA,NA,8,IN
5,4,Chetna,"Rhubarb, Strawberry and Orange Puddings","Mango, Raspberry and Coconut Baked Alaska",NA,NA,NA,3,IN
5,5,Chetna,Rice Custard Tart with Mangoes and Raspberries,Fusion Tiered Pies,NA,NA,NA,2,IN
5,6,Chetna,Orange Savarin with Cinnamon Cream,Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream,NA,NA,NA,2,STAR BAKER
5,7,Chetna,Crispy Lentil Kachori,Chocolate and Mango & Lemon Meringue Éclairs,NA,NA,NA,6,IN
5,8,Chetna,Date and Walnut Swirl Bread,Chocolate Mousse Filled DoughnutsBraided Doughnuts,NA,NA,NA,1,IN
5,9,Chetna,Chocolate Orange Baklava Masala Chai Baklava,"Chocolate, Orange & Nut EntremetsCappuccino Entremets",NA,NA,NA,4,OUT
8,1,Chris,Tropical Fresh Fruit Cake,'Raised Pork Pie and Egg Surprise' Cake,NA,NA,NA,12,IN
8,2,Chris,Chocolate Chia Seed Biscuits with Whisky Caramel Filling,'The Great British Sail Off' Game,NA,NA,NA,11,OUT
4,1,Christine,"Strawberry, Vanilla and Rosewater Summer Basket",Chocolate and Orange 'Fripperous' Hat Cake,NA,NA,NA,3,IN
4,2,Christine,Mediterranean Breadsticks with Oregano,Double Plaited Loaf,NA,NA,NA,4,IN
4,3,Christine,Caribbean Pina Colada Trifle,Ninety-NinersSachertorte Parcels,NA,NA,NA,4,STAR BAKER
4,4,Christine,"Granny Rogers' Apple, Plum & Cinnamon Country Pie",Roasted Vegetable Filo Pie with Feta Cheese,NA,NA,NA,7,IN
4,5,Christine,Mixed Berry and Almond Crumble Traybake,Shortbread Bavarian Clock Tower,NA,NA,NA,1,STAR BAKER
4,6,Christine,Oxford Nutty Fruit Loaf,Schnecken BunsVanilla Custard Skolebrød,NA,NA,NA,4,IN
4,7,Christine,Spotted Dick 'With a Kick'and Vanilla Custard Ice Cream,Eccles CakesFresh Fruit BasketsLemon Cream Eton Mess Mille-feuille,NA,NA,NA,6,IN
4,8,Christine,"Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds",Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant,NA,NA,NA,5,OUT
5,1,Claire,Chocolatey Orangey Swirly Roll,Mini Chocolate and Cherry Cakes,NA,NA,NA,8,OUT
3,1,Danny,"Plum, Ginger & Orange",UNKNOWN,NA,NA,NA,7,IN
3,2,Danny,Lime Coriander and Coconut TortillasZaatar Naan with Dukkah,UNKNOWN,NA,NA,NA,3,IN
3,3,Danny,Savoury Pear and Roquefort Tarte Tatin,"Pineapple, Coconut and Frangipane Tart",NA,NA,NA,2,IN
3,4,Danny,"Blackberry, White Chocolate, Lemon and Elderflower Torte","'Monte Bianco' Chestnut, Chocolate and Coffee Dacquoise",NA,NA,NA,2,IN
3,5,Danny,"Chickpea, Spinach & Mushroom Wellington",Trick or Treat Pumpkin Pie,NA,NA,NA,7,IN
3,6,Danny,Banoffee Puddings with Walnut Butterscotch SauceJubilee Chocolate Fondants,"Leek, Potato, Pistachio and Gruyère Strudel",NA,NA,NA,2,IN
3,7,Danny,Bakewell Chelsea Buns,European Christmas Wreath,NA,NA,NA,2,STAR BAKER
3,8,Danny,Spiced Almond Drinks Crackers,Gingerbread Big Ben,NA,NA,NA,4,IN
3,9,Danny,Blackberry and Peppermint MacaroonsMiniature Raspberry and Basil FinanciersOrange and White Chocolate Langues de Chat,Rosewater and Lychee St. Honoré,NA,NA,NA,4,OUT
1,1,David,Chocolate Orange Cake,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs",NA,NA,NA,3,IN
1,2,David,Cheddar Cheese and Fresh Rosemary Biscuits,Choux Pastry Swans  Chocolate Profiteroles,NA,NA,NA,8,IN
1,3,David,Chilli Bread,"Walnut and Seed Roll
Red Berry and Almond Bun",NA,NA,NA,4,IN
1,4,David,Pear and Walnut Pudding,"Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear",NA,NA,NA,5,OUT
4,1,Deborah,Pineapple Cake,'Coffee Time',NA,NA,NA,9,IN
4,2,Deborah,Fennel & Chilli Breadsticks,Walnut Fleur Loaf,NA,NA,NA,8,IN
4,3,Deborah,Tropical Trifle*,Canelé Cherry and Chocolate CakesRose Cookies,NA,NA,NA,9,OUT
5,1,Diana,Mum's Sunday Tea Lemon Curd Swiss Roll,Chocolate Ganache Surprises,NA,NA,NA,5,IN
5,2,Diana,Parmesan Triangles,"Express, First Class",NA,NA,NA,7,IN
5,3,Diana,Rustic Picnic Rolls,Sharing Savoury Pinwheel,NA,NA,NA,7,IN
5,4,Diana,Orange and Lemon Curd Pots,Raspberry Ripple Alaska Swan,NA,NA,NA,9,IN
6,1,Dorret,Madeira Cake with Candied Lemons,Enchanted Forest Gâteau,NA,NA,NA,5,IN
6,2,Dorret,Almond and Apricot Biscotti with Amber Sugar Crystals,Box of Frogs,NA,NA,NA,1,IN
6,3,Dorret,Walnut and Stilton Soda Breads,Unmade Bread,NA,NA,NA,6,OUT
1,1,Edd,Caramel Cinnamon and Banana Cake,N/A,NA,NA,NA,1,IN
1,2,Edd,Oatmeal Raisin Cookie,Pink Macarons,NA,NA,NA,6,IN
1,3,Edd,Olive Bread,Tomato and Mozzarella,NA,NA,NA,1,IN
1,4,Edd,Apple and Plum Pudding,"Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer",NA,NA,NA,3,IN
1,5,Edd,"Chicken, Ham, Leek and Tarragon Pie","Almond Sweet Pastry with Ginger and Chocolate  Raspberry Tart / Yorkshire Curd Tart  Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés",NA,NA,NA,2,IN
1,6,Edd,Cinnamon and Banana Cake,NA,NA,NA,NA,NA,WINNER
5,1,Enwezor,Raspberry and Lemon Swiss Roll,Coffee and Walnut Battenberg Squares,NA,NA,NA,9,IN
5,2,Enwezor,Pumpkin and Sunflower Savoury Biscuits,Space Adventure Moon Scene,NA,NA,NA,9,OUT
8,1,Flo,Citrus Layer Cake,'One in a Melon' Cake,NA,NA,NA,9,IN
8,2,Flo,Gin Jam Butties,'Pick My Bones' Game,NA,NA,NA,10,IN
8,3,Flo,Cinnamon and Orange Teacakes,'Davy Jones' Locker' Bread Sculpture,NA,NA,NA,7,OUT
6,1,Flora,Blood Orange Madeira Cake,Black Forest Gâteau,NA,NA,NA,6,IN
6,2,Flora,Wedding Biscotti,Honey and Earl Grey Tea Box,NA,NA,NA,2,IN
6,3,Flora,Fig and Hazelnut Rye Breads,Herb Couture,NA,NA,NA,2,IN
6,4,Flora,Rhubarb and Ginger Crème Brûlées,Elderflower and Granola Cheesecakes,NA,NA,NA,3,IN
6,5,Flora,"Pistachio, Apple and Cardamom Madeleine Cake",Chocolate and Pear Bûche,NA,NA,NA,3,IN
6,6,Flora,Apricot and Rosemary Frangipane Tart,Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents,NA,NA,NA,2,IN
6,7,Flora,Game Pie with Shallot and Apple Chutney,"Raspberry, Pomegranate and Champagne Charlotte Russe",NA,NA,NA,4,IN
6,8,Flora,Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns,Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne,NA,NA,NA,3,IN
6,9,Flora,Passion Fruit and Chocolate Tart,Cocoa Carousel,NA,NA,NA,1,OUT
4,1,Frances,Giant Jam Sandwich,Secret Squirrel Cake,NA,NA,NA,7,IN
4,2,Frances,Giant Matchsticks,Sailor's Knot,NA,NA,NA,2,IN
4,3,Frances,Apple and Blackberry Crumble Trifle,'Ballet Bites' Ginger NutcrackersSugar Plum Fairy Cakes,NA,NA,NA,8,IN
4,4,Frances,Peach Pie In the Sky,Cherry Tree Baklava Filo Pie,NA,NA,NA,1,IN
4,5,Frances,Millionaire Banoffee Bonus,Biscuit Buttons and Beads,NA,NA,NA,3,IN
4,6,Frances,Chai Tea Loaf,Hot Cross BriochesRhubarb and Custard Kolaches,NA,NA,NA,2,IN
4,7,Frances,Figgy Roll-y Poly Puddingwith Caramelised Walnut and Honey Ice-Cream,French Framboise Cream HornsSheet Music Mille-feuilleBass Clef Palmiers,NA,NA,NA,5,STAR BAKER
4,8,Frances,'Chelsea Flour Show' Bun Bouquet,"Hidden Carrot Cake (Ground Praline, Beetroot and Walnut)",NA,NA,NA,3,IN
4,9,Frances,"Legume Canapés:
Chantenay CarrotsChoux Pastry TomatoesCauliflower Cheese Scones",Great British Soap Opera Cake,NA,NA,NA,2,IN
4,10,Frances,Rainbow Picnic Pie,Midsummer Night's Dream Wedding Cake,NA,NA,NA,3,WINNER
4,1,Glenn,Strawberries and Cream Cake,Almond and Espresso Chocolate Cake,NA,NA,NA,4,IN
4,2,Glenn,Rosemary and Parmesan Grissini,Harvest Crown,NA,NA,NA,7,IN
4,3,Glenn,Raspberry and Almond Trifle,Billionaire BouchéesOrange Financiers,NA,NA,NA,1,IN
4,4,Glenn,Apple & Maple Syrup Pie,Spanakopita (Walnut and Feta Cheese),NA,NA,NA,9,IN
4,5,Glenn,Apricot and Pistachio Tiffin,Shortbread and Macaron Helter-Skelter,NA,NA,NA,2,IN
4,6,Glenn,Devonshire Panettone,Almond and Apricot BriochesSticky Caramel Kanelbullen,NA,NA,NA,5,IN
4,7,Glenn,Prune and Armagnac Puddingwith Boozy Butterscotch Sauce,Caramelised Apple and Marzipan TartletsChocolate Elephant EarsPassion Fruit Mille-feuille,NA,NA,NA,3,OUT
2,1,Holly,Cherry Bakewell Inspired CupcakesGinger Cupcakes with Fig Truffle,UNKNOWN,NA,NA,NA,1,STAR BAKER
2,2,Holly,Pesto Quiche,Milk Chocolate and Pistachio TartsTrifle Tarts,NA,NA,NA,4,IN
2,3,Holly,Picnic Loaf,Stilton and Walnut Rolls,NA,NA,NA,6,IN
2,4,Holly,Strawberry and Custard Melts,"'Chocolate bars of my youth'
(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)",NA,NA,NA,3,STAR BAKER
2,5,Holly,"Stilton, Potato and Caramelised Onion Pie",Lime Meringue Pie,NA,NA,NA,4,IN
2,6,Holly,Father Christmas' Baked Cheesecake,Hansel and Gretel's Croquembouche,NA,NA,NA,3,IN
2,7,Holly,"White Chocolate, Hazelnut and Raspberry Genoise Mousse Cake","Apricot, Macadamia and White Chocolate PinwheelsAlmond CroissantsApple, Raisin and Cinnamon Plaits",NA,NA,NA,1,IN
2,8,Holly,Banoffee Inspired Mille Feuille,Strawberry and Cream Meringue NestGooseberry and Elderflower 'Bakewell' TartsNeapolitan Ice-Cream Sandwich,NA,NA,NA,2,Runner-up
4,1,Howard,Passion Fruit and Coconut Cake,Black Forest Revisited,NA,NA,NA,6,IN
4,2,Howard,Moroccan Breadsticks,Picasso Sun Bread,NA,NA,NA,10,IN
4,3,Howard,Caramel and Apple Trifle*,Black Coffee and Cardamom CakesWhite Stilton and Pear Biscuits,NA,NA,NA,7,IN
4,4,Howard,Apple Pie with Sage Pastry,Fresh Fig and Feta Filo Flan,NA,NA,NA,5,IN
